BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
OLLIERES;PEYNIER;Mikhail JOHANSSON
TORXE;BIGNAY;Mariya BECKER
VILLEBERNY;GRENANT LES SOMBERNON;Sergey ZIMMERMANN
LOUBILLE;ST MARTIN DE FRAIGNEAU;Jose WAGNER
FRAISSE DES CORBIERES;PLANEZES;Martin ANDERSSON
PIERREFICHE;LES SALELLES;Irina MAGOMEDOV
BAILLEAU LE PIN;LE FAVRIL;Tatiana MARIN
BUROS;SAULT DE NAVAILLES;Nykolai NAVARRO
SECHERAS;CHEMINAS;Michael NOVIKOVA
LANUEJOLS;PELOUSE;John RAMOS
CAYRES;CHAMPCLAUSE;Elena JOHANSSON
OLMET;MONTMORIN;Andrei SCHNEIDER
ST BRICE DE LANDELLES;LE LOROUX;Tatiana MÜLLER
BEAULIEU;MONTMOYEN;Aleksandr POPOV
PIERRELONGUE;CAMARET SUR AIGUES;Antonio MUÑOZ
LA CHAPELLE DES POTS;FONTCOUVERTE;Vladimir SANCHEZ
TALLER;LALUQUE;Petra DIAZ
INGRANDES LE FRESNE SUR LOIRE;VALLET;Barbara VOLKOVA
COMMERCY;PONT SUR MEUSE;Vladymyr ALONSO
ROUGEMONTOT;TALLANS;Vasylyi DAVIES
ST LOUP LAMAIRE;AVRILLE LES PONCEAUX;Hans JONES
COTTUN;VAUX SUR SEULLES;Manfred NOVIKOVA
SELONNET;AUZET;Darya MORENO
GENAY;SATHONAY VILLAGE;Maria MARTINEZ
BREVIANDES;CHATEAUVILLAIN;Mikhail JONES
LA COTE D ARBROZ;LES GETS;Eva SILVA
ST JUST D AVRAY;CHAMBOST ALLIERES;Francisco MUÑOZ
AURIAC;DRUGEAC;Yuliya ALONSO
BESCAT;SENTEIN;John BAUER
VILLEMUR SUR TARN;PAYRAC;Laura MARTIN
LA CHAPELLE ST QUILLAIN;ROCHE ET RAUCOURT;Vladimir RUSSO
COUCHEY;TAILLY;Natalya SMIRNOVA
PEYZAC LE MOUSTIER;VARS SUR ROSEIX;Francesco SCHULZ
JUILLEY;CUVES;Olha KRAVCHENKO
TREVOUX;SULIGNAT;David DAVIES
HASPARREN;SERRESLOUS ET ARRIBANS;Manfred RAMOS
ENVEITG;UNAC;Vera SCHMID
TRINAY;ST LYE LA FORET;Robert SMITH
BOLANDOZ;GOUX LES USIERS;Maryia MILLER
LA TESSOUALLE;ST PIERRE DES ECHAUBROGNES;Hans ALONSO
ST AVAUGOURD DES LANDES;LA BOISSIERE DES LANDES;Antonio SOKOLOVA
SEGUR LE CHATEAU;NIEUIL;Evgeniy WAGNER
ST JUSTIN;GASTES;Mariya BAUER
LANGON SUR CHER;ST MAUR;Nadezhda JOHANSSON
ROQUEBRUN;VIEUSSAN;Robert THOMAS
ST AIGNAN SUR RY;FRY;Ana SCHULZ
BOURG DE SIROD;CRANS;Marta NOVIKOVA
ST MARS DU DESERT;ST LAURENT SUR SEVRE;Maria FERNANDEZ
OUILLY DU HOULEY;CERNAY;Ana KOCH
CASEVECCHIE;PIETROSO;Aleksandr POPOV
ST VINCENT;LABATMALE;Mario SCHULZ
PERON;CERCIER;Daniel THOMAS
MONTJEAN;LA FORET DE TESSE;Lyubov IVANOVA
PUBLIER;ARCEY;Vera WEBER
MONT ST VINCENT;ST FORGEOT;Eva LOPEZ
CANIAC DU CAUSSE;LE BORN;Eva SZABÓ
LE CROUAIS;ST MAUGAN;Tatyana TORRES
LA REDORTE;MOUSSAN;Andrei BONDARENKO
ST DREZERY;ST GELY DU FESC;Maria WOLF
RUNAN;LEZARDRIEUX;Aleksandra SANTOS
ABLEIGES;CHAPET;Jean KOVÁCS
FESMY LE SART;MARLEMONT;Dmitriy SCHÄFER
BENON;ST XANDRE;Rosa SIMON
ST PIERRE DELS FORCATS;MONT LOUIS;Petra BECKER
YONVAL;BRAY LES MAREUIL;Barbara SANCHEZ
CHAUVENCY ST HUBERT;NEPVANT;Brigitte MARTIN
GRANDHAM;CHUFFILLY ROCHE;Maryia SHEVCHENKO
MARSEILLE;MARSEILLE;Angela BONDARENKO
MONT DISSE;AYDIE;Marie PEREZ
GUERIN;BILLERE;Ivan EVANS
TANNIERES;VAILLY SUR AISNE;Tatyana EVANS
TRAUSSE;ALAIRAC;Robert ROBERTS
UZ;ST PE DE BIGORRE;Eva BAUER
MARILLET;LA CHAPELLE AUX LYS;Giuseppe SZABÓ
PETIT MARS;LIGNE;Anastasiya HUBER
ST ETIENNE DU VAUVRAY;BERVILLE LA CAMPAGNE;Brigitte EVANS
BOEGE;DRAILLANT;Mária PETROV
CHAMPAGNE LES MARAIS;CHAILLE LES MARAIS;Natalya SCHULZ
ST DENIS DE GASTINES;LE HORPS;Jan PETROVA
SOURRIBES;BARRAS;Maksim BECKER
ST IZAIRE;SALMIECH;David FERREIRA
PUJOLS;PORT STE MARIE;David MEYER
VAUX ROUILLAC;ST AMANT DE NOUERE;Mariya SMIRNOVA
NIORT;PETOSSE;Nadezhda ROSSI
MIRABEAU;LE BRUSQUET;Paul MÜLLER
MIRABEL;AUTY;Olha JENSEN
PENNEDEPIE;ROGERVILLE;Valentyna SCHULZ
ST PIERRE DE NOGARET;CHANAC;Francisco MAGOMEDOV
AULAN;ASPREMONT;Irina RAMOS
VAL CENIS;AUSSOIS;Angela IVANOVA
BLIES EBERSING;FRAUENBERG;Vladimir MORENO
ARRAS EN LAVEDAN;PIERREFITTE NESTALAS;Serhei GUTIERREZ
LES RIVES;SAUCLIERES;Serhei LOPEZ
COMMENSACQ;LABOUHEYRE;Marina RODRIGUEZ
RIX;MOUTHE;Andrea SCHMIDT
PRAT BONREPAUX;LASSERRE;Claude MARTINEZ
MARAMBAT;BEAUMONT;Vladymyr KRAVCHENKO
DUERNE;LA CHAPELLE SUR COISE;Sergey PEREZ
RADONVILLIERS;BRIENNE LE CHATEAU;Francesco THOMAS
LA CHAPELLE FORAINVILLIERS;SERVILLE;Vasylyi WILSON
LE CHEIX;CHAUFFAILLES;Karin MARTIN
LA NEUVEVILLE SOUS CHATENOIS;JUSSARUPT;Andrei HUBER
BAZINCOURT SUR EPTE;ERAGNY SUR EPTE;Elena ANDERSSON
VILLEDIEU LE CHATEAU;ST JULIEN SUR SARTHE;Ivan SCHMID
LAVERNOY;PISSELOUP;Tomasz MARTIN
ARMENTIERES EN BRIE;SIGNY SIGNETS;Francisco ALONSO
ST JEAN LES BUZY;HAGEVILLE;Francesco TAYLOR
TONNAY CHARENTE;LA VALLEE;Maksim POPOVA
RIGNIEUX LE FRANC;ST PIERRE LE VIEUX;Rosa VARGA
ST GEORGES HAUTE VILLE;DORANGES;Denis HOFFMANN
MIGNY;LA FERTE ST AUBIN;Vladimir HOFFMANN
ST BROINGT LE BOIS;TIGNECOURT;Marina JENSEN
TROIS FONDS;ANTHIEN;David PETROV
CIREY SUR VEZOUZE;BLIES GUERSVILLER;Tomasz SHEVCHENKO
SAUGNAC ET MURET;MIOS;Elena FISCHER
DOMPIERRE LES ORMES;CULETRE;Ekaterina BECKER
HOTOT EN AUGE;ORBEC;Nadezhda WILSON
BOUZAIS;ST PIERRE LE BOST;Nykolai MARTIN
SAULXURES LES VANNES;CREZILLES;Marie SCHMIDT
ST JEAN DE VALERISCLE;MONOBLET;John SZABÓ
LOUGE SUR MAIRE;GIEL COURTEILLES;Tomasz HERNANDEZ
COMPEYRE;RIVIERE SUR TARN;Giuseppe KOCH
MURVIEL LES BEZIERS;ROQUEBRUN;Maria TORRES
ST DYE SUR LOIRE;TOUR EN SOLOGNE;Marie NAGY
LEUGNY;CUSSY LES FORGES;Marie NIELSEN
LE PIN MURELET;BOISSEDE;Richard COSTA
ECOMMOY;BRETTE LES PINS;Andrea JONES
MONTCET;POLLIAT;Mária KUZNETSOV
FAUX FRESNAY;BOULAGES;Paul DAVIES
CHEVALINE;MANIGOD;Mariya FERNANDEZ
DOZULE;BEAUFOUR DRUVAL;Alina SOKOLOVA
LAGNIEU;ST ETIENNE DES OULLIERES;Yvan SCHNEIDER
BOURG CHARENTE;ST ROMANS DES CHAMPS;Francisco SOKOLOVA
GONFREVILLE CAILLOT;LA RIVIERE ST SAUVEUR;Maria BROWN
CASTANS;CUXAC CABARDES;John JIMENEZ
FRIDEFONT;ST MARTIAL;Sergey KUZNETSOV
OSMETS;STE AURENCE CAZAUX;Maryia THOMAS
GUEUX;VASSOGNE;Laura SCHULZ
BEZAUDUN LES ALPES;BOUYON;Mario MORENO
NETTANCOURT;CHARMONT;Ana KUZNETSOV
DIZIMIEU;SEPTEME;Anne NAGY
CLIPONVILLE;ANCOURTEVILLE SUR HERICOURT;Petra RODRIGUEZ
ST DESERT;ECUISSES;Sergey KUZNETSOV
COURCAY;ST BRANCHS;Barbara ANDERSSON
DOMINOIS;HESMOND;Svetlana SOKOLOVA
FORMIGUERES;FONTRABIOUSE;Serhei KOCH
JULLOUVILLE;VAINS;Richard MAGOMEDOV
L HOPITAL;HOLVING;Rosa NIELSEN
GARLAN;GUERLESQUIN;Mária IVANOV
COURCELLES SOUS CHATENOIS;BLEMEREY;Christian FERNANDEZ
MONNETAY;LOMBARD;Valentina HANSEN
FERCE SUR SARTHE;HARQUENCY;Francisco NOWAK
ANTICHAN DE FRONTIGNES;STE MARIE;Marta RODRIGUEZ
COURCIVAL;THELIGNY;Vera MORENO
ST GOBERT;COINGT;Juan NAVARRO
SCHOPPERTEN;HARSKIRCHEN;Michel FERRARI
ST BAUZILLE DE LA SYLVE;POPIAN;Anton FISCHER
CHAMBOURCY;VAUX SUR SEINE;Tatiana SZABÓ
VILLY EN TRODES;FRAIGNOT ET VESVROTTE;Valentyna TORRES
HAIGNEVILLE;ST BOINGT;Mariya BONDARENKO
ST PLANCHERS;ST PAIR SUR MER;John WILLIAMS
LUPIAC;RIGUEPEU;Andrea SANTOS
GROSVILLE;ROCHEVILLE;Brigitte HANSEN
ALTIER;BORNE;Thomas ROSSI
ST MEDARD D AUNIS;ST LAURENT DE LA PREE;Vladymyr GARCIA
MONTORD;ESPINASSE;Alina MEYER
ESPARRON;LE SAIX;Claude NAGY
CHEVRIER;CHENEX;Brigitte KARLSSON
ROCHER;ST CIRGUES DE PRADES;Lyubov SMITH
DUMES;STE COLOMBE;Anne KARLSSON
LESCUN;SORBETS;Olga BROWN
VUILLAFANS;NARBIEF;Aleksandr PAVLOVA
CENSEAU;NOIRON;Serhei VASILEVA
PIERREMONT SUR AMANCE;VITREY SUR MANCE;Valentyna IVANOVA
LE GUE DE VELLUIRE;LA TAILLEE;Maksim SANCHEZ
ST IGNAT;ST YRIEIX LA MONTAGNE;Anna MORENO
VERGES;MENETRUX EN JOUX;Mario BECKER
CHANGE;VIMPELLES;Evgeniy MARIN
SANNOIS;BAZAINVILLE;Darya MORENO
ST LAURENT DU VAR;LA GAUDE;Manfred JONES
AZAY LE BRULE;LOUIN;Christian DAVIES
ST FELICIEN;BOULIEU LES ANNONAY;Petra KOVÁCS
GRILLON;MONTGUERS;Aleksandra GUTIERREZ
WAVIGNIES;CAMPREMY;Karin RODRIGUEZ
GASNY;HODENT;Irina MARTINEZ
LA MOTTE TERNANT;GISSEY LE VIEIL;Monika WEBER
CHAMPCERIE;EPANEY;Jose VASILEVA
ST ANTONIN DE SOMMAIRE;ST SYMPHORIEN DES BRUYERES;Barbara ROMERO
ROMELFING;ERSTROFF;Anastasiya JONES
ST MARTIN DE BROMES;CAP D AIL;Marina RODRIGUEZ
SASSENAGE;NOTRE DAME DE L OSIER;Mikhail ALONSO
PIMELLES;PRENOIS;Olga KOVALENKO
MONESPLE;BENAGUES;Mária MEYER
ST MAURICE LA SOUTERRAINE;BLANZAC;Serhei MILLER
ST MICAUD;ST EUSEBE;Natalya VASILEVA
VIBRAC;PALLUAUD;Monika KOCH
PLANCHER BAS;AUXELLES HAUT;Monika KLEIN
TREJOULS;SAUZET;Sergey WEBER
TESSEL;LE FRESNE CAMILLY;Aleksandr RAMOS
MAISONS EN CHAMPAGNE;MIGE;Anna GUTIERREZ
PARIGNARGUES;ST COME ET MARUEJOLS;Anne WOLF
CERVENS;LULLIN;Mikhail WAGNER
VALMESTROFF;RURANGE LES THIONVILLE;Vera WAGNER
LE PLESSIS DORIN;NOISIEL;Serhei KOVALENKO
ST CHRISTOPHE;ST CYR DU DORET;Marta WOLF
CESTAS;MIOS;Valentina ALONSO
XAINTRAILLES;SENESTIS;Tatiana SZABÓ
LA GUERINIERE;ST URBAIN;Mikhail JENSEN
MONTGEARD;ST ROME;Irina RAMOS
VIC LA GARDIOLE;MURLES;Yvan BECKER
STE FOY;COTTEVRARD;Yvan TORRES
KIENHEIM;INGWILLER;Mariya NOWAK
PONTMAIN;ST SULPICE LA FORET;Aleksandra RAMOS
AULON;CASSAGNE;Francesco THOMAS
MOUTIERS SUR LE LAY;LES PINEAUX;Andreas COSTA
EPERTULLY;TINTRY;Sandra ALVAREZ
AMELECOURT;AVILLERS;Sergey THOMAS
HARCY;BELVAL;Anton BECKER
MAGNANT;BAR SUR AUBE;Alina BROWN
VARS;COUTRAS;Evgeniy PEREZ
LOIRE AUTHION;COURLAY;Yvan SIMON
MONZE;MONTGRADAIL;Tatyana TAYLOR
ROCHE;CHOZEAU;Rosa NIELSEN
CIVRY LA FORET;BOISSETS;Vera DIAZ
HARGNIES;GOMMEGNIES;Daniel SCHULZ
ROUEN;SURVILLE;Andrea ALVAREZ
LES PEINTURES;ST SAUVEUR LALANDE;Lyubov GUTIERREZ
ARCHON;AUSSONCE;Christian SHEVCHENKO
ST JEAN DES CHAMPS;ST GEORGES DES GROSEILLERS;Michel BONDARENKO
CHATEAU GAILLARD;ROCHE;Aleksandr NOWAK
GEMONVILLE;AROFFE;Peter SCHMID
FIGANIERES;MOISSAC BELLEVUE;Tatiana RODRIGUEZ
CAMPS LA SOURCE;BRIGNOLES;Vasylyi NOVIKOVA
MONTS DE RANDON;STE MARGUERITE;Francesco LOPEZ
MARTIGNAT;GEOVREISSET;Piotr JOHNSON
CHATENOY EN BRESSE;TRONCHY;Christian SCHNEIDER
TAILLEBOURG;GRANDJEAN;Jose MARTINEZ
MONTFAUCON;BARTHERANS;Vera NOWAK
SOUSVILLE;NANTES EN RATIER;Claude RODRIGUEZ
MAGNAC BOURG;ST AUSTREMOINE;Andrea ZIMMERMANN
WARGNIES LE GRAND;SERAIN;Giuseppe JENSEN
CHARPENTRY;EPINONVILLE;Claude HUBER
NANTILLY;VENERE;Vera NOWAK
LASSEUBETAT;ESTIALESCQ;Irina FERREIRA
VILLARGONDRAN;ST JEAN DE MAURIENNE;Nykolai SMIRNOV
LE PESCHER;CONNEZAC;Ivan JOHNSON
BAURECH;MOUILLAC;Claude SMIRNOV
LA MURE D ISERE;LA MORTE;Sergey VOLKOVA
CRECY AU MONT;LANDRICOURT;Valentyna MORENO
MINZAC;ST REMY;Thomas ROBERTS
SQUIFFIEC;PLOUEC DU TRIEUX;Olga KARLSSON
LAGNIEU;ST BAUDILLE DE LA TOUR;Manfred SCHMIDT
LELEX;L ABERGEMENT CLEMENCIAT;Vladimir NOWAK
GAREIN;CACHEN;Elisabeth ZIMMERMANN
COUPVRAY;TRILBARDOU;Natalya VOLKOVA
AIGNE;BOISSET;Hans EVANS
LUSSE;REYERSVILLER;Hans ALONSO
ST HILAIRE SOUS CHARLIEU;ORMES;Marina MEIER
ERMENONVILLE LA PETITE;ST AVIT LES GUESPIERES;Elena JOHANSSON
ST PERREUX;SOULLANS;Josef JONES
CHATEAUREDON;ST JACQUES;Aleksey RUSSO
TENDON;AVILLEY;Natalya VASILEVA
ST CHRISTO EN JAREZ;CHATELUS;Josef FERRARI
BEAUCHAMPS;LE MESNIL VILLEMAN;Paul VASILEVA
MEE;ARMAILLE;Giuseppe PETROV
BLOND;BELLAC;Petra SMITH
ST VINCENT DES LANDES;MARSAC SUR DON;Mariya BROWN
TROO;BESSE SUR BRAYE;Yuliya TAYLOR
BERMESNIL;RAMBURES;John SCHÄFER
AINGERAY;LIVERDUN;Petra MARTIN
LEYMENT;STE JULIE;Aleksandr KOVALENKO
PERROS GUIREC;ST QUAY PERROS;Natalya NOVIKOVA
GUMIANE;ARNAYON;Vladimir MORENO
BELLEYDOUX;SERGY;Klaus ANDERSSON
CHAMPANGES;ONNION;Michael ALONSO
CHANAY;ANDERT ET CONDON;Vera WOLF
ST OUEN L AUMONE;MAGNY LA FOSSE;Anton JOHANSSON
CREYSSE;BEAUREGARD DE TERRASSON;Anna ROMERO
FRANSU;BERNEUIL;Martin HANSEN
CHAMPVOISY;VENIZEL;Denis POPOV
CONDE SUR VIRE;BERNAY ST MARTIN;Aleksey JOHANSSON
BLIES EBERSING;ROUHLING;Maria TORRES
TAVAUX;MARBOZ;Andrey PETROV
GAINNEVILLE;TURRETOT;Marina HANSEN
RIEUX DE PELLEPORT;VARILHES;Brigitte BAUER
BEAUMONT EN AUGE;FIERVILLE LES PARCS;Vera WOLF
SEREMANGE ERZANGE;MONTIGNY LES METZ;Klaus ALONSO
ST SIMON;SONAC;Giovanni ALVAREZ
ST MARTIN LA PLAINE;GRIGNY;Anne SCHÄFER
SAUSSINES;LA ROCHE SUR GRANE;Laura POPOV
SALSIGNE;VILLEGLY;Ana ROSSI
ST COME ET MARUEJOLS;VESTRIC ET CANDIAC;Karin FERNANDEZ
VESLES ET CAUMONT;GOUDELANCOURT LES PIERREPONT;Eva TÓTH
CHEVAIGNE;RIVES DU COUESNON;Ekaterina SHEVCHENKO
PLEGUIEN;GUINGAMP;Mikhail KOVALENKO
ST PAULET DE CAISSON;ST LAURENT DE CARNOLS;Laura RICHTER
QUATRE CHAMPS;SASSEY SUR MEUSE;Ana SANTOS
COISE ST JEAN PIED GAUTHIER;MONTAGNOLE;Pavel NIELSEN
ST JACQUES;LAMBRUISSE;Olha BRAUN
TRIGANCE;ST JULIEN DU VERDON;Barbara TORRES
FRESNAY SUR SARTHE;SOULIGNE SOUS BALLON;Barbara KLEIN
LA CROIX DE LA ROCHETTE;CHAMP LAURENT;Claude NAGY
ALLAS CHAMPAGNE;ST CIERS CHAMPAGNE;Serhei GUTIERREZ
BRACH;HAUTECOUR;Yuliya PETROV
HOMMARTING;LOCHWILLER;Valentyna GARCIA
MAZERULLES;EULMONT;Natalya NAGY
POMPIGNAC;CANEJAN;Brigitte HERNANDEZ
ASTAILLAC;SIONIAC;Irina KRAVCHENKO
MAZEROLLES;GAYON;Maryia SCHÄFER
CROISMARE;VIC SUR SEILLE;Svetlana EVANS
PERIGNY;ST DENIS DE MERE;Manfred KLEIN
CHAUDENAY;VELLECLAIRE;Giuseppe HERNANDEZ
BEVY;MONTIGNY SUR ARMANCON;Igor WEBER
LABROYE;NOYELLES EN CHAUSSEE;Antonio SOKOLOVA
LA LECHERE;VILLAROGER;Dmitriy MARIN
MINIAC MORVAN;LA VILLE ES NONAIS;Dmitriy NOVIKOVA
BORT LES ORGUES;SAUVAGNY;Manfred KRAVCHENKO
LA PIERRE;ST JEAN LE VIEUX;Vladimir SIMON
EPOTHEMONT;RIZAUCOURT BUCHEY;Giovanni RICHTER
CHAILLEVOIS;CESSIERES SUZY;Christine POPOV
SOUSMOULINS;PETIT BERSAC;Elena SHEVCHENKO
SAUZET;BONLIEU SUR ROUBION;Eva LOPEZ
BUVILLY;VAUX SUR POLIGNY;Juan KOVALENKO
CUSSY EN MORVAN;LA PETITE VERRIERE;Antonio WAGNER
TOURS EN SAVOIE;MERCURY;Marta SCHMIDT
ST AUBIN LE MONIAL;ST DOMET;Michael MARIN
REMOLLON;VALSERRES;Richard SMIRNOVA
TERMES;VIGNEVIEILLE;Mariya DAVIES
PLAIGNE;PECHARIC ET LE PY;Jose BONDARENKO
STE GENEVIEVE LES GASNY;BOIS JEROME ST OUEN;Petra MARTINEZ
THORAS;ST MARTIAL;Dmitriy RUIZ
DOURS;UGNOUAS;Tatiana SMIRNOVA
ST MAURICE EN COTENTIN;FIERVILLE LES MINES;Alina THOMAS
GATTIERES;LE TIGNET;Tomasz MARTIN
AMBERT;CHASSIGNOLLES;Francisco WILLIAMS
LISLE;MENESPLET;Olga TORRES
ST AVIT DE VIALARD;ROUFFIGNAC ST CERNIN DE REILHAC;Marina MAGOMEDOV
BOUILLAC;SANILHAC;Michael SIMON
VIODOS ABENSE DE BAS;ARBERATS SILLEGUE;Francisco NOWAK
ST BAUZILLE DE MONTMEL;ST NAZAIRE DES GARDIES;Claude SCHULZ
THEZIERS;LA MOTTE D AIGUES;Laura WEBER
MESNILS SUR ITON;LE CORMIER;Nikolay HUBER
CHAMPIGNY LA FUTELAYE;CRAVENT;Hans WILLIAMS
REDESSAN;CEYRESTE;Nadezhda ROMERO
PLAN D AUPS STE BAUME;VAUVENARGUES;Vladimir MEIER
LA GAUDE;LE ROURET;Maria BROWN
SEUILLY;MOULIHERNE;Vladimir ROSSI
CANEJAN;PESSAC;Ekaterina MEIER
BRAY SUR SOMME;VILLE SUR ANCRE;Manfred TORRES
ROQUESSELS;NAGES;Pavel SCHMID
GOETZENBRUCK;SOUCHT;Giovanni BRAUN
COURS;FONTENAY;Tomasz SCHMIDT
GOUSTRANVILLE;PETIVILLE;Darya DIAZ
VALENCE;CHATEAUNEUF SUR ISERE;Werner KOVÁCS
MORLHON LE HAUT;MONTSALES;Tatyana POPOVA
LANNEBERT;TREVEREC;Robert KOVALENKO
VOHARIES;WIEGE FATY;Mariya JONES
BEAUBEC LA ROSIERE;SAUMONT LA POTERIE;Andrei MEYER
ST PARDOUX LA CROISILLE;ST SYLVAIN;Vladymyr ROSSI
GAGEAC ET ROUILLAC;ST COME;Oksana EVANS
DOM LE MESNIL;SINGLY;Darya VASILEVA
ST PANCRACE;NOTRE DAME DU CRUET;Manfred MORENO
DONGES;ST JOACHIM;Anton GUTIERREZ
VENDRENNES;MAREUIL SUR LAY DISSAIS;Michel POPOV
GIMEUX;JUILLAC LE COQ;Anastasiya THOMAS
ST ETIENNE DE CARLAT;TANAVELLE;Svetlana TAYLOR
RAVILLOLES;MOIRANS EN MONTAGNE;Wolfgang VOLKOVA
WINDSTEIN;NIEDERBRONN LES BAINS;Alina PETROV
ESCLAINVILLERS;GRIVESNES;Sergey SCHULZ
LES ARTIGUES DE LUSSAC;ST SULPICE DE FALEYRENS;Aleksandra FERREIRA
ST CYR SUR LE RHONE;ST ALBAN DE ROCHE;Olga VARGA
PIGNANS;COLLOBRIERES;Daniel MARIN
ROUFFIGNAC;RIOUX MARTIN;Juan KOVALENKO
MOUREZE;PERET;Andrey SOKOLOVA
ST GENES DE CASTILLON;CARDAN;Daniel TAYLOR
LE BIGNON;PONT ST MARTIN;Christine KARLSSON
ST JUVAT;TREGUIER;Mariya FERNANDEZ
ROYAS;LE THORONET;Jean MEIER
DOLUS D OLERON;ANGOULINS;Sandra FERREIRA
LE BOUCHAGE;LOUBILLE;Giuseppe NAGY
COURNONTERRAL;ST FELIX DE LODEZ;Anne RUSSO
BOUCHON;NEUVILLE AU BOIS;Denis KARLSSON
ST LAURENT DE CONDEL;BOULON;Daniel HOFFMANN
LE BUISSON;PEYRE EN AUBRAC;Andrey KOVALENKO
PORNIC;CHAUMES EN RETZ;Wolfgang MARIN
MONTFERRAT;COMPS SUR ARTUBY;Andreas IVANOV
BELLEVIGNE EN LAYON;ADILLY;Martin MÜLLER
DURFORT LACAPELETTE;ROUMENS;Tatyana GUTIERREZ
LACARRY ARHAN CHARRITTE DE HAUT;ALCAY ALCABEHETY SUNHARETTE;Andrey GARCIA
HAYANGE;MEXY;Yvan SMIRNOV
ST LOUP;AVRANCHES;Ekaterina PETROV
ST ARAILLES;L ISLE DE NOE;Denis RUIZ
ST ETIENNE CANTALES;SAIGNES;Igor KUZNETSOVA
MESSE;BRUX;Olga EVANS
ST VIVIEN DE MONSEGUR;COURS DE MONSEGUR;Marina ALVAREZ
LE PIN;QUINTIGNY;Serhei GOMEZ
LA MERLATIERE;TALLUD STE GEMME;Alexander NOWAK
FONTAINE MACON;LA VILLENEUVE AU CHATELOT;Maryia FERRARI
BEAUMES DE VENISE;RASTEAU;Vera SCHULZ
CHATEAUBLEAU;FORGES;Eva NAGY
CLARA VILLERACH;FINESTRET;Francesco HANSEN
BERTHOUVILLE;JUMIEGES;Josef VOLKOVA
BRIONNE;HELLEVILLE;Robert GARCIA
MAXEY SUR MEUSE;VANDELEVILLE;Sandra KOVALENKO
CHENY;BEAUMONT;Michael KUZNETSOVA
TRONSANGES;MURLIN;Rosa MARIN
SASSIS;GRUST;Mikhail JONES
VENDOEUVRES;VILLEDIEU SUR INDRE;Alexander SHEVCHENKO
MERCUS GARRABET;BURRET;Patrick BRAUN
WISQUES;SENINGHEM;Patrick GOMEZ
FONTIVILLIE;ST VINCENT LA CHATRE;Peter ROMERO
NIMES;THEZIERS;Aleksandr JONES
ANTHIEN;ALLIGNY COSNE;Maksim SMIRNOV
GREVILLY;PRETY;Oksana SMIRNOV
DAMIGNY;LONRAI;Paul SMIRNOV
VEYRIERES;MAURIAC;Lyubov TÓTH
LONGCOCHON;THOIRIA;Claude SCHULZ
ORAINVILLE;HAVRINCOURT;Rosa JONES
MONTCLUS;SOULAGES;Michael MARIN
BURNHAUPT LE BAS;SOPPE LE BAS;Natalya ROSSI
VILLIERS FOSSARD;SOULVACHE;Irina NOVIKOVA
NOUEILLES;ISSUS;Serhei ZIMMERMANN
LES EPARRES;GRENAY;Andrea NOWAK
VAL DE BONNIEURE;LE BOUCHAGE;Klaus RUSSO
TENEUR;GOUY LES GROSEILLERS;Anne SANCHEZ
MONTFORT SUR MEU;CARDROC;Tatiana WILSON
NIEDERSTEINBACH;LEMBACH;Svetlana PEREZ
BOURBACH LE HAUT;SENTHEIM;Sergey SCHÄFER
LIOUX;BLAUVAC;Olha ROMERO
SEMALLE;LA POMMERAYE;Olha SHEVCHENKO
ST VIVIEN DE MEDOC;BOISREDON;Claude NAGY
POUCHARRAMET;MASSOULES;Olga NIELSEN
ABBECOURT;FAMECHON;Thomas NAGY
ST MICHEL DE VOLANGIS;QUANTILLY;Robert ALONSO
ARCHIGNAC;THONAC;Eva TORRES
NICEY SUR AIRE;NEUVILLE EN VERDUNOIS;Patrick RODRIGUEZ
CHAUDON NORANTE;ENTRAGES;Peter SCHULZ
ST FIRMIN DES PRES;VILLEBOUT;Anna TAYLOR
PRESLES;ISSOU;Jean WILLIAMS
BUVILLY;GERAISE;Daniel WILLIAMS
MAUMUSSON;CASTERON;Nikolay SMIRNOV
HAUDAINVILLE;CHATILLON SOUS LES COTES;Jan MÜLLER
PULVERSHEIM;MITTELWIHR;John SHEVCHENKO
ST JEAN DE CUCULLES;VAILHAUQUES;Valentina JIMENEZ
GRISOLLES;MONTAIN;Olha GUTIERREZ
ROUTES;ST SYLVAIN;Vladimir HANSEN
VILLARODIN BOURGET;FRENEY;Ekaterina SHEVCHENKO
GEAUNE;HIGUERES SOUYE;Ivan DIAZ
MARSAT;ST JEAN D HEURS;Ana JIMENEZ
CANTELOUP;GONNEVILLE LE THEIL;Eva ROSSI
NEUVECELLE;CHEVENOZ;Yuliya WOLF
CAUZAC;ST CAPRAIS DE LERM;Manfred MARTIN
COURTEIX;ST SULPICE LES BOIS;Olga NIELSEN
BRASSY;CORBIGNY;Natalya MILLER
ST ANDRE DE L EPINE;MONTREUIL SUR LOZON;Rosa NIELSEN
LOMPNAS;CHEVENOZ;Christine FERRARI
FOURMIES;LA FLAMENGRIE;Richard MOROZOVA
TOURTENAY;MOUTIERS SUR LE LAY;Manfred VARGA
STE VERGE;LES FORGES;Vladimir LOPEZ
RETHEL;POIX TERRON;Jean NAVARRO
ETALANS;THIENANS;Alexander KOVALENKO
SANGUINET;LE TEICH;Laura MORENO
MORTAGNE SUR GIRONDE;BRIE SOUS MORTAGNE;Yuliya RUIZ
